pathway	Cluster_0	Cluster_1	Cluster_2	Cluster_3	Cluster_4	Cluster_5	Cluster_6	Cluster_7	Cluster_8	Cluster_9	Cluster_10	Cluster_11	Cluster_12	Cluster_13	Cluster_14	Cluster_15	Cluster_16	Cluster_17	Cluster_18	Cluster_19	Cluster_20	Cluster_21	Cluster_22	Cluster_23	Cluster_24	Cluster_25	Cluster_26	Cluster_27	Cluster_28	Cluster_29	Cluster_30	Cluster_31	Total_Up_Regulated
REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_METABOLISM_OF_POLYAMINES	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_INTERLEUKIN_1_SIGNALING	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_CYTOPROTECTION_BY_HMOX1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_DEGRADATION_OF_AXIN	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_ABC_TRANSPORTER_DISORDERS	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_DEGRADATION_OF_DVL	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_HEDGEHOG_LIGAND_BIOGENESIS	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	29
REACTOME_PTEN_REGULATION	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	28
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	28
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	28
REACTOME_UCH_PROTEINASES	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	28
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	28
REACTOME_MITOCHONDRIAL_TRANSLATION	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	28
REACTOME_AUTOPHAGY	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	27
REACTOME_SYNTHESIS_OF_DNA	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	27
REACTOME_PROTEIN_LOCALIZATION	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	27
REACTOME_MTOR_SIGNALLING	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	27
REACTOME_MITOTIC_G2_G2_M_PHASES	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	26
REACTOME_CELL_CYCLE_CHECKPOINTS	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	26
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	26
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	26
REACTOME_HIV_INFECTION	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	26
REACTOME_HEDGEHOG_ON_STATE	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	26
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	25
REACTOME_SIGNALING_BY_HEDGEHOG	1	1	1	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	25
REACTOME_PROTEIN_UBIQUITINATION	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	25
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	25
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	25
REACTOME_MITOCHONDRIAL_BIOGENESIS	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	25
REACTOME_DEUBIQUITINATION	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	25
REACTOME_NEDDYLATION	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	25
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	25
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	25
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	25
REACTOME_SIGNALING_BY_WNT	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	24
REACTOME_HEDGEHOG_OFF_STATE	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	24
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING	1	1	1	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	24
REACTOME_TRANSLATION	1	1	0	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	24
REACTOME_PYRUVATE_METABOLISM	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	24
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	24
REACTOME_COMPLEX_I_BIOGENESIS	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	24
REACTOME_PROGRAMMED_CELL_DEATH	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	23
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	1	1	0	0	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	23
REACTOME_M_PHASE	0	1	0	0	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	22
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	1	1	0	0	1	1	1	0	0	1	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	21
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3	1	1	0	0	1	1	0	0	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	21
REACTOME_CRISTAE_FORMATION	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	21
REACTOME_SIGNALING_BY_NOTCH	1	1	1	0	1	1	0	0	0	1	0	1	0	1	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	0	20
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	1	1	0	0	1	1	1	0	1	1	0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	0	0	19
REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE	1	1	0	0	0	0	1	0	1	1	0	1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	1	0	1	0	18
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0	1	0	0	1	1	0	0	1	0	0	1	1	1	0	1	1	0	1	0	1	1	0	1	0	1	0	1	0	1	1	0	17
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0	1	1	0	1	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	0	16
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	1	0	1	1	0	0	0	16
REACTOME_INTERLEUKIN_17_SIGNALING	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	0	16
REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	0	16
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	1	1	0	0	1	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	1	1	0	0	1	1	0	1	0	0	0	0	15
REACTOME_CELL_CYCLE_MITOTIC	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	1	0	1	1	0	0	0	14
REACTOME_SIGNALING_BY_ROBO_RECEPTORS	1	1	0	0	1	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	1	1	0	0	0	1	0	1	0	0	0	0	14
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	14
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0	1	0	1	1	0	13
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	0	1	1	0	0	1	13
REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	13
REACTOME_CELL_CYCLE	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	12
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	12
REACTOME_VESICLE_MEDIATED_TRANSPORT	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	12
REACTOME_MEMBRANE_TRAFFICKING	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	12
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	1	0	0	1	1	0	1	1	0	0	0	12
REACTOME_RHO_GTPASES_ACTIVATE_KTN1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	12
REACTOME_ACTIVATION_OF_RAC1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	11
REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	11
REACTOME_HIV_LIFE_CYCLE	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	10
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	10
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	10
REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	9
REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	9
REACTOME_MTORC1_MEDIATED_SIGNALLING	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	9
REACTOME_SIGNALING_BY_INTERLEUKINS	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7
REACTOME_CELLULAR_RESPONSES_TO_STIMULI	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	7
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	7
REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	7
REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	7
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	7
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	7
REACTOME_METABOLISM_OF_RNA	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	6
REACTOME_INFECTIOUS_DISEASE	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	6
REACTOME_TRANSPORT_OF_SMALL_MOLECULES	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	6
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	6
